timestamp,sequence,digit_moves,indicators
2025-01-26 06:11:38.698,2,Down,NEUTRAL
2025-01-26 06:11:39.698,8,Up,NEUTRAL
2025-01-26 06:11:40.698,4,Up,NEUTRAL
2025-01-26 06:11:41.698,4,Up,NEUTRAL
2025-01-26 06:11:42.698,5,Up,NEUTRAL
2025-01-26 06:11:43.698,2,Down,NEUTRAL
2025-01-26 06:11:44.698,5,Up,NEUTRAL
2025-01-26 06:11:45.698,7,Up,NEUTRAL
2025-01-26 06:11:46.698,9,Up,NEUTRAL
2025-01-26 06:11:47.698,7,Down,NEUTRAL
2025-01-26 06:11:48.698,2,Down,NEUTRAL
2025-01-26 06:11:49.698,5,Down,NEUTRAL
2025-01-26 06:11:50.698,6,Up,NEUTRAL
2025-01-26 06:11:51.698,5,Down,NEUTRAL
2025-01-26 06:11:52.698,4,Down,NEUTRAL
2025-01-26 06:11:53.698,4,Up,NEUTRAL
2025-01-26 06:11:54.698,5,Down,NEUTRAL
2025-01-26 06:11:55.698,5,Up,NEUTRAL
2025-01-26 06:11:49.125,5,Up,NEUTRAL
2025-01-26 06:11:50.125,2,Up,NEUTRAL
2025-01-26 06:11:51.125,5,Up,NEUTRAL
2025-01-26 06:11:52.125,7,Up,NEUTRAL
2025-01-26 06:11:53.125,9,Up,NEUTRAL
2025-01-26 06:11:54.125,7,Down,NEUTRAL
2025-01-26 06:11:55.125,2,Down,NEUTRAL
2025-01-26 06:11:56.125,5,Down,NEUTRAL
2025-01-26 06:11:57.125,6,Up,NEUTRAL
2025-01-26 06:11:58.125,5,Down,NEUTRAL
2025-01-26 06:11:59.125,4,Down,NEUTRAL
2025-01-26 06:12:00.125,4,Up,NEUTRAL
2025-01-26 06:12:01.125,5,Down,NEUTRAL
2025-01-26 06:12:02.125,5,Up,NEUTRAL
2025-01-26 06:12:03.125,6,Up,NEUTRAL
2025-01-26 06:12:04.125,6,Up,NEUTRAL
2025-01-26 06:12:05.125,7,Down,NEUTRAL
2025-01-26 06:12:06.125,4,Down,NEUTRAL
2025-01-26 06:12:07.125,8,Up,NEUTRAL
2025-01-26 06:12:08.125,0,Up,NEUTRAL
2025-01-26 06:12:01.657,2,Up,NEUTRAL
2025-01-26 06:12:02.657,5,Down,NEUTRAL
2025-01-26 06:12:03.657,6,Up,GOOD
2025-01-26 06:12:04.657,5,Down,GOOD
2025-01-26 06:12:05.657,4,Down,GOOD
2025-01-26 06:12:06.657,4,Up,GOOD
2025-01-26 06:12:07.657,5,Down,GOOD
2025-01-26 06:12:08.657,5,Up,GOOD
2025-01-26 06:12:09.657,6,Up,GOOD
2025-01-26 06:12:10.657,6,Up,GOOD
2025-01-26 06:12:11.657,7,Down,GOOD
2025-01-26 06:12:12.657,4,Down,GOOD
2025-01-26 06:12:13.657,8,Up,GOOD
2025-01-26 06:12:14.657,0,Up,GOOD
2025-01-26 06:12:15.657,1,Up,GOOD
2025-01-26 06:12:16.657,4,Down,GOOD
2025-01-26 06:12:17.657,1,Up,GOOD
2025-01-26 06:12:18.657,3,Up,GOOD
2025-01-26 06:12:19.657,2,Up,GOOD
2025-01-26 06:12:20.657,5,Down,GOOD
2025-01-26 06:12:14.138,5,Up,GOOD
